condition,role,n,edge_void_pct_mean,edge_void_pct_std,edge_void_pct_p95,chip_offset_p95_um_mean,chip_offset_p95_um_std,chip_offset_p95_um_p95,warpage_um_mean,warpage_um_std,warpage_um_p95,cycle_time_index_mean,cycle_time_index_std,cycle_time_index_p95,all_ctq_pass_rate_pct
Baseline scenario,Before,12,1.7681937916862858,0.052946186300466824,1.8360220110757173,41.12334958631285,1.2556951792988775,43.01659490192963,925.3070497333684,16.257773513132026,944.0775088778744,101.55997088536594,0.4198449739669701,102.08280111774968,0.0
Recommended,Robust candidate,12,0.39701296455500956,0.05217621550149052,0.48334260248578537,16.742094981531775,1.1265186131406306,18.699792548392757,655.5133083941578,15.651510771680494,675.7509255601504,104.07202258331728,0.44379120215697376,104.54515161389584,100.0
Vacuum boundary,Robust boundary,12,0.41200573702739857,0.04885808464090439,0.47906473930714966,17.174028325236993,0.6408274715519751,17.96546693141288,659.00273546552,10.89798985559804,674.0998295159662,103.60500115755978,0.46079917250890373,104.23872842727667,100.0
Speed boundary,Robust boundary,12,0.37977916487476654,0.045605945460353785,0.43034586320031,17.587537469234285,1.113679092271903,18.981788537438685,662.1603930315154,15.254997124990142,683.6963497698548,103.43362676260064,0.3753478969677918,103.92034919776326,100.0
Zone outside,Outside window challenge,12,0.4538053579207136,0.03514556620111506,0.5009703957469689,18.46378372563204,0.8169021677343948,19.89752150636939,673.1386205997766,14.712216855729432,690.3488938130171,104.0621255270738,0.43321161487068827,104.75218210605757,91.66666666666666
